Gu,Date,Population,id
Eunpyeong-gu,2023-06-19,6143.0,11380
Jungnang-gu,2023-06-19,42549.0,11260
Seocho-gu,2023-06-19,56153.0,11650
Dongjak-gu,2023-06-19,171623.0,11590
Dobong-gu,2023-06-19,115616.0,11320
Guro-gu,2023-06-19,139719.0,11530
Jung-gu,2023-06-19,90777.0,11140
Gangdong-gu,2023-06-19,102005.0,11740
Yangcheon-gu,2023-06-19,145703.0,11470
Songpa-gu,2023-06-19,61876.0,11710
Nowon-gu,2023-06-19,79908.0,11350
Gangbuk-gu,2023-06-19,100011.0,11305
Gangseo-gu,2023-06-19,48916.0,11500
Seodaemun-gu,2023-06-19,6083.0,11410
Yongsan-gu,2023-06-19,303.0,11170
Geumcheon-gu,2023-06-19,112682.0,11545
Gangnam-gu,2023-06-19,195271.0,11680
Gwangjin-gu,2023-06-19,83723.0,11215
Gwanak-gu,2023-06-19,81253.0,11620
Jongno-gu,2023-06-19,24611.0,11110
Mapo-gu,2023-06-19,66951.0,11440
Seongdong-gu,2023-06-19,3874.0,11200
