자치구,측정날짜,방문자수,SIG_CD
Yangcheon-gu,2023-06-18,135022.0,11470
Eunpyeong-gu,2023-06-18,4434.0,11380
Jung-gu,2023-06-18,91292.0,11140
Seocho-gu,2023-06-18,41049.0,11650
Nowon-gu,2023-06-18,79207.0,11350
Seodaemun-gu,2023-06-18,5998.0,11410
Gangdong-gu,2023-06-18,96192.0,11740
Gangnam-gu,2023-06-18,183666.0,11680
Geumcheon-gu,2023-06-18,99954.0,11545
Dongjak-gu,2023-06-18,164256.0,11590
Dobong-gu,2023-06-18,110615.0,11320
Seongdong-gu,2023-06-18,7391.0,11200
Jongno-gu,2023-06-18,29702.0,11110
Gangbuk-gu,2023-06-18,96202.0,11305
Gwangjin-gu,2023-06-18,80280.0,11215
Gwanak-gu,2023-06-18,82434.0,11620
Guro-gu,2023-06-18,137589.0,11530
Gangseo-gu,2023-06-18,41500.0,11500
Jungnang-gu,2023-06-18,42219.0,11260
Songpa-gu,2023-06-18,66817.0,11710
Yongsan-gu,2023-06-18,403.0,11170
Mapo-gu,2023-06-18,70449.0,11440
